sales_month,Channel,ticket_zone,orders,passengers,total_ticket_value,total_margin,fee_old_scheme,fee_new_scheme,fee_delta,fee_delta_pct_of_margin
2022-03,Other,<$262.50 (fee up),33,39,5633.54,-59.89,0.0,0.0,0.0,-0.0
2022-03,Other,$262.50-500 (about even),29,41,10760.99,145.05,0.0,0.0,0.0,0.0
2022-03,Other,>$500 (fee down),40,89,55908.22,1642.79,0.0,0.0,0.0,0.0
2022-04,Aeroprice,<$262.50 (fee up),3196,3829,310966.42,-8193.16,12438.66,33558.0,21119.34,-257.77
2022-04,Aeroprice,$262.50-500 (about even),493,735,184991.18,291.3,7399.65,7038.97,-360.68,-123.81
2022-04,Aeroprice,>$500 (fee down),1139,2110,1879044.46,33448.43,27096.03,21641.0,-5455.03,-16.31
2022-04,Direct,<$262.50 (fee up),346,381,39641.57,1189.99,0.0,0.0,0.0,0.0
2022-04,Direct,$262.50-500 (about even),105,145,38822.84,1121.09,0.0,0.0,0.0,0.0
2022-04,Direct,>$500 (fee down),385,610,578237.0,16215.54,0.0,0.0,0.0,0.0
2022-04,Google Flights,<$262.50 (fee up),634,673,81924.86,-102.84,0.0,0.0,0.0,-0.0
2022-04,Google Flights,$262.50-500 (about even),410,464,157868.11,3088.15,0.0,0.0,0.0,0.0
2022-04,Google Flights,>$500 (fee down),2029,3084,3366528.48,68807.89,0.0,0.0,0.0,0.0
2022-04,Jetcost,<$262.50 (fee up),43,57,6602.15,359.26,0.0,0.0,0.0,0.0
2022-04,Jetcost,$262.50-500 (about even),40,67,14835.27,638.14,0.0,0.0,0.0,0.0
2022-04,Jetcost,>$500 (fee down),38,98,32228.04,1336.53,0.0,0.0,0.0,0.0
2022-04,Jetradar,<$262.50 (fee up),66,77,12657.1,429.39,0.0,0.0,0.0,0.0
2022-04,Jetradar,$262.50-500 (about even),60,84,21665.14,1080.41,0.0,0.0,0.0,0.0
2022-04,Jetradar,>$500 (fee down),87,208,117744.26,3220.35,0.0,0.0,0.0,0.0
